State FIPS code,State,Year,Number of returns,Number of single returns,Number of joint returns,Number of head of household returns,Number with paid preparer signature,Number of exemptions,Number of dependents,"Number of 
farm returns",Self-employment retirement plansNumber of returns,Self-employment retirement plans Amount,State and local income taxes Number of returns,State and local income taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Taxable income Number of returns,Taxable income Amount,Child tax credit Number of returns,Child tax credit Amount,Residential energy credit Number of returns,Residential energy credit Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded Number of returns,Overpayments refunded Amount
50,VT,2012,321090,165550,122870,27680,157230,569130,148160,4410,2840,43593,83510,499750,86520,448552,92300,971854,72750,565437,247450,11890169,44220,55806,7650,4555,54290,221191,242430,556071
51,VA,2012,3808940,1731550,1487870,496580,1757410,7486820,2422060,39460,28750,714131,1349360,9291804,1294460,4651212,1475990,14740067,1179720,13302849,3016850,187485380,593910,722234,74750,29438,700940,3202907,2940600,8195714
53,WA,2012,3243550,1510660,1324970,368990,1410720,6473850,2076920,25110,21430,423221,72870,647737,987440,4051611,1062450,6860160,887550,9978235,2578300,161496636,522410,656941,47290,23100,592250,3127594,2457750,6627788
54,WV,2012,782140,339340,338670,91080,387770,1534410,458340,14190,3010,70557,132410,913602,125000,187442,142540,1166538,110920,821469,578220,24902171,126020,160143,12210,4277,97610,380874,646160,1684000
55,WI,2012,2777290,1352390,1118680,286240,1493770,5323450,1642340,59590,15120,247176,863180,6031462,885490,3999923,957930,10355534,748520,5171607,2152150,107662104,444430,587064,55600,18240,469790,2089174,2134540,5054081
56,WY,2012,300780,139250,127050,29750,150350,571160,167640,9290,1230,24163,6960,88910,58920,136150,66060,335437,51840,497249,237330,17228434,49040,69429,5020,1803,47970,321138,235960,735617
0,US,2013,145824340,67708180,53525240,21786080,80457760,287311260,97044140,1878750,939920,21686524,32465590,302248143,37855560,173828446,44138080,505851632,32985020,292253224,109532330,6318266716,22389000,27050381,3109170,1555751,26408250,136599433,111449010,334672669
1,AL,2013,2048400,816130,770530,422330,1212800,4214440,1510500,46330,6790,140440,439590,2134434,446380,603613,546150,3040635,408500,3055891,1469200,68235339,337120,392472,47910,18455,328960,1517222,1633210,4907817
2,AK,2013,359060,184050,128510,37600,152660,669850,210830,1380,2530,54168,20600,24840,74220,307617,79820,373183,69310,674570,298650,17071362,59990,80554,7520,2900,73090,363482,265340,758971
4,AZ,2013,2812790,1244620,1053820,479860,1436950,5851020,2108760,8200,12550,275011,591860,3105947,719190,1783120,815040,5582953,642610,5897171,2086280,105058923,475380,572492,51000,39864,575760,2460205,2071310,5886004
5,AR,2013,1220160,490050,495570,211260,734370,2524780,874080,41350,2460,50071,236480,1881077,234230,419596,281900,2475103,205500,1375932,873150,40335019,209100,245163,18360,7280,207730,917149,956570,2727302
6,CA,2013,17170050,8139700,6200640,2595540,10916770,35816450,13261930,62370,160490,4007733,4707560,67450437,4732120,24695697,5881240,96215447,4253350,53941669,12834870,816466711,2707490,3107709,209460,281297,3714850,20799921,12408880,39030885
8,CO,2013,2502640,1195250,979700,282960,1219840,4908270,1571140,29180,18500,360466,731170,4636832,755080,1929302,841070,6996117,696400,6751901,1976280,118773594,398280,503318,50130,22253,544070,2800877,1817580,5000329
9,CT,2013,1749500,856690,631650,226350,954860,3238660,996170,3210,24630,606194,654710,8235585,665920,4857542,729030,13581440,550700,4949341,1393690,116536233,233890,277433,51410,22476,332670,2135194,1308740,4850043
10,DE,2013,439430,206510,156880,65970,206830,837270,268710,2030,2270,50173,134970,870901,129040,326676,143170,1215476,119260,1090711,345070,18102848,66470,78193,12250,6230,79110,333359,341490,916761
11,DC,2013,331030,212330,54260,55680,153510,522250,146310,190,5810,197177,122600,1669789,85260,352619,130350,2050854,78600,976351,269240,20497422,27640,26581,4650,3069,69420,399173,245300,821807
12,FL,2013,9314920,4416250,3089370,1603090,5035010,17401840,5477530,36600,33410,696022,166140,2958941,1775550,8151961,2120870,14211084,1522490,14278239,6670010,379445333,1195240,1321549,173190,84077,1609380,9213463,7114210,23064595
